t         x(t)      y(t)      vx(t)     vy(t)
0.000000  0.000000  0.000000  8.660254  5.000000 
0.010000  0.086603  0.050000  8.660254  4.901900 
0.020000  0.173205  0.099019  8.660254  4.803800 
0.030000  0.259808  0.147057  8.660254  4.705700 
0.040000  0.346410  0.194114  8.660254  4.607600 
0.050000  0.433013  0.240190  8.660254  4.509500 
0.060000  0.519615  0.285285  8.660254  4.411400 
0.070000  0.606218  0.329399  8.660254  4.313300 
0.080000  0.692820  0.372532  8.660254  4.215200 
0.090000  0.779423  0.414684  8.660254  4.117100 
0.100000  0.866025  0.455855  8.660254  4.019000 
0.110000  0.952628  0.496045  8.660254  3.920900 
0.120000  1.039230  0.535254  8.660254  3.822800 
0.130000  1.125833  0.573482  8.660254  3.724700 
0.140000  1.212436  0.610729  8.660254  3.626600 
0.150000  1.299038  0.646995  8.660254  3.528500 
0.160000  1.385641  0.682280  8.660254  3.430400 
0.170000  1.472243  0.716584  8.660254  3.332300 
0.180000  1.558846  0.749907  8.660254  3.234200 
0.190000  1.645448  0.782249  8.660254  3.136100 
0.200000  1.732051  0.813610  8.660254  3.038000 
0.210000  1.818653  0.843990  8.660254  2.939900 
0.220000  1.905256  0.873389  8.660254  2.841800 
0.230000  1.991858  0.901807  8.660254  2.743700 
0.240000  2.078461  0.929244  8.660254  2.645600 
0.250000  2.165064  0.955700  8.660254  2.547500 
0.260000  2.251666  0.981175  8.660254  2.449400 
0.270000  2.338269  1.005669  8.660254  2.351300 
0.280000  2.424871  1.029182  8.660254  2.253200 
0.290000  2.511474  1.051714  8.660254  2.155100 
0.300000  2.598076  1.073265  8.660254  2.057000 
0.310000  2.684679  1.093835  8.660254  1.958900 
0.320000  2.771281  1.113424  8.660254  1.860800 
0.330000  2.857884  1.132032  8.660254  1.762700 
0.340000  2.944486  1.149659  8.660254  1.664600 
0.350000  3.031089  1.166305  8.660254  1.566500 
0.360000  3.117691  1.181970  8.660254  1.468400 
0.370000  3.204294  1.196654  8.660254  1.370300 
0.380000  3.290897  1.210357  8.660254  1.272200 
0.390000  3.377499  1.223079  8.660254  1.174100 
0.400000  3.464102  1.234820  8.660254  1.076000 
0.410000  3.550704  1.245580  8.660254  0.977900 
0.420000  3.637307  1.255359  8.660254  0.879800 
0.430000  3.723909  1.264157  8.660254  0.781700 
0.440000  3.810512  1.271974  8.660254  0.683600 
0.450000  3.897114  1.278810  8.660254  0.585500 
0.460000  3.983717  1.284665  8.660254  0.487400 
0.470000  4.070319  1.289539  8.660254  0.389300 
0.480000  4.156922  1.293432  8.660254  0.291200 
0.490000  4.243524  1.296344  8.660254  0.193100 
0.500000  4.330127  1.298275  8.660254  0.095000 
0.510000  4.416730  1.299225  8.660254  -0.003100
0.520000  4.503332  1.299194  8.660254  -0.101200
0.530000  4.589935  1.298182  8.660254  -0.199300
0.540000  4.676537  1.296189  8.660254  -0.297400
0.550000  4.763140  1.293215  8.660254  -0.395500
0.560000  4.849742  1.289260  8.660254  -0.493600
0.570000  4.936345  1.284324  8.660254  -0.591700
0.580000  5.022947  1.278407  8.660254  -0.689800
0.590000  5.109550  1.271509  8.660254  -0.787900
0.600000  5.196152  1.263630  8.660254  -0.886000
0.610000  5.282755  1.254770  8.660254  -0.984100
0.620000  5.369358  1.244929  8.660254  -1.082200
0.630000  5.455960  1.234107  8.660254  -1.180300
0.640000  5.542563  1.222304  8.660254  -1.278400
0.650000  5.629165  1.209520  8.660254  -1.376500
0.660000  5.715768  1.195755  8.660254  -1.474600
0.670000  5.802370  1.181009  8.660254  -1.572700
0.680000  5.888973  1.165282  8.660254  -1.670800
0.690000  5.975575  1.148574  8.660254  -1.768900
0.700000  6.062178  1.130885  8.660254  -1.867000
0.710000  6.148780  1.112215  8.660254  -1.965100
0.720000  6.235383  1.092564  8.660254  -2.063200
0.730000  6.321985  1.071932  8.660254  -2.161300
0.740000  6.408588  1.050319  8.660254  -2.259400
0.750000  6.495191  1.027725  8.660254  -2.357500
0.760000  6.581793  1.004150  8.660254  -2.455600
0.770000  6.668396  0.979594  8.660254  -2.553700
0.780000  6.754998  0.954057  8.660254  -2.651800
0.790000  6.841601  0.927539  8.660254  -2.749900
0.800000  6.928203  0.900040  8.660254  -2.848000
0.810000  7.014806  0.871560  8.660254  -2.946100
0.820000  7.101408  0.842099  8.660254  -3.044200
0.830000  7.188011  0.811657  8.660254  -3.142300
0.840000  7.274613  0.780234  8.660254  -3.240400
0.850000  7.361216  0.747830  8.660254  -3.338500
0.860000  7.447818  0.714445  8.660254  -3.436600
0.870000  7.534421  0.680079  8.660254  -3.534700
0.880000  7.621024  0.644732  8.660254  -3.632800
0.890000  7.707626  0.608404  8.660254  -3.730900
0.900000  7.794229  0.571095  8.660254  -3.829000
0.910000  7.880831  0.532805  8.660254  -3.927100
0.920000  7.967434  0.493534  8.660254  -4.025200
0.930000  8.054036  0.453282  8.660254  -4.123300
0.940000  8.140639  0.412049  8.660254  -4.221400
0.950000  8.227241  0.369835  8.660254  -4.319500
0.960000  8.313844  0.326640  8.660254  -4.417600
0.970000  8.400446  0.282464  8.660254  -4.515700
0.980000  8.487049  0.237307  8.660254  -4.613800
0.990000  8.573651  0.191169  8.660254  -4.711900
1.000000  8.660254  0.144050  8.660254  -4.810000
1.010000  8.746857  0.095950  8.660254  -4.908100
1.020000  8.833459  0.046869  8.660254  -5.006200
