t         x(t)      y(t)      vx(t)     vy(t)      K(t)      U(t)      E(t)
0.000000  0.000000  0.000000  7.071068  7.071068  50.000000 -0.000000 50.000000
0.010000  0.070711  0.070711  7.071068  6.972968  49.311140 0.693672  50.004812
0.020000  0.141421  0.140440  7.071068  6.874868  48.631904 1.377720  50.009624
0.030000  0.212132  0.209189  7.071068  6.776768  47.962291 2.052144  50.014435
0.040000  0.282843  0.276957  7.071068  6.678668  47.302302 2.716945  50.019247
0.050000  0.353553  0.343743  7.071068  6.580568  46.651936 3.372123  50.024059
0.060000  0.424264  0.409549  7.071068  6.482468  46.011194 4.017676  50.028871
0.070000  0.494975  0.474374  7.071068  6.384368  45.380076 4.653606  50.033683
0.080000  0.565685  0.538217  7.071068  6.286268  44.758582 5.279913  50.038494
0.090000  0.636396  0.601080  7.071068  6.188168  44.146710 5.896596  50.043306
0.100000  0.707107  0.662962  7.071068  6.090068  43.544463 6.503655  50.048118
0.110000  0.777817  0.723862  7.071068  5.991968  42.951839 7.101091  50.052930
0.120000  0.848528  0.783782  7.071068  5.893868  42.368839 7.688903  50.057742
0.130000  0.919239  0.842721  7.071068  5.795768  41.795462 8.267091  50.062553
0.140000  0.989949  0.900678  7.071068  5.697668  41.231709 8.835656  50.067365
0.150000  1.060660  0.957655  7.071068  5.599568  40.677580 9.394597  50.072177
0.160000  1.131371  1.013651  7.071068  5.501468  40.133074 9.943915  50.076989
0.170000  1.202082  1.068666  7.071068  5.403368  39.598192 10.483609 50.081801
0.180000  1.272792  1.122699  7.071068  5.305268  39.072933 11.013679 50.086612
0.190000  1.343503  1.175752  7.071068  5.207168  38.557298 11.534126 50.091424
0.200000  1.414214  1.227824  7.071068  5.109068  38.051287 12.044949 50.096236
0.210000  1.484924  1.278914  7.071068  5.010968  37.554899 12.546149 50.101048
0.220000  1.555635  1.329024  7.071068  4.912868  37.068135 13.037725 50.105860
0.230000  1.626346  1.378153  7.071068  4.814768  36.590995 13.519677 50.110672
0.240000  1.697056  1.426300  7.071068  4.716668  36.123478 13.992006 50.115483
0.250000  1.767767  1.473467  7.071068  4.618568  35.665584 14.454711 50.120295
0.260000  1.838478  1.519653  7.071068  4.520468  35.217315 14.907792 50.125107
0.270000  1.909188  1.564857  7.071068  4.422368  34.778669 15.351250 50.129919
0.280000  1.979899  1.609081  7.071068  4.324268  34.349646 15.785084 50.134731
0.290000  2.050610  1.652324  7.071068  4.226168  33.930247 16.209295 50.139542
0.300000  2.121320  1.694585  7.071068  4.128068  33.520472 16.623882 50.144354
0.310000  2.192031  1.735866  7.071068  4.029968  33.120320 17.028846 50.149166
0.320000  2.262742  1.776166  7.071068  3.931868  32.729792 17.424186 50.153978
0.330000  2.333452  1.815484  7.071068  3.833768  32.348888 17.809902 50.158790
0.340000  2.404163  1.853822  7.071068  3.735668  31.977607 18.185994 50.163601
0.350000  2.474874  1.891179  7.071068  3.637568  31.615950 18.552463 50.168413
0.360000  2.545584  1.927554  7.071068  3.539468  31.263916 18.909309 50.173225
0.370000  2.616295  1.962949  7.071068  3.441368  30.921506 19.256531 50.178037
0.380000  2.687006  1.997363  7.071068  3.343268  30.588720 19.594129 50.182849
0.390000  2.757716  2.030795  7.071068  3.245168  30.265557 19.922103 50.187660
0.400000  2.828427  2.063247  7.071068  3.147068  29.952018 20.240454 50.192472
0.410000  2.899138  2.094718  7.071068  3.048968  29.648102 20.549182 50.197284
0.420000  2.969848  2.125207  7.071068  2.950868  29.353810 20.848285 50.202096
0.430000  3.040559  2.154716  7.071068  2.852768  29.069142 21.137766 50.206908
0.440000  3.111270  2.183244  7.071068  2.754668  28.794097 21.417622 50.211719
0.450000  3.181981  2.210791  7.071068  2.656568  28.528676 21.687855 50.216531
0.460000  3.252691  2.237356  7.071068  2.558468  28.272879 21.948464 50.221343
0.470000  3.323402  2.262941  7.071068  2.460368  28.026705 22.199450 50.226155
0.480000  3.394113  2.287545  7.071068  2.362268  27.790155 22.440812 50.230967
0.490000  3.464823  2.311167  7.071068  2.264168  27.563228 22.672551 50.235778
0.500000  3.535534  2.333809  7.071068  2.166068  27.345925 22.894665 50.240590
0.510000  3.606245  2.355470  7.071068  2.067968  27.138245 23.107157 50.245402
0.520000  3.676955  2.376149  7.071068  1.969868  26.940190 23.310024 50.250214
0.530000  3.747666  2.395848  7.071068  1.871768  26.751757 23.503268 50.255026
0.540000  3.818377  2.414566  7.071068  1.773668  26.572949 23.686889 50.259837
