# mass (g)   v_term (m/s)
0.001000     0.313209 
0.101000     3.147713 
0.201000     4.440507 
0.301000     5.433976 
0.401000     6.272009 
0.501000     7.010571 
0.601000     7.678418 
0.701000     8.292653 
0.801000     8.864429 
0.901000     9.401495 
1.001000     9.909495 
1.101000     10.392695
1.201000     10.854405
1.301000     11.297261
1.401000     11.723400
1.501000     12.134583
1.601000     12.532282
1.701000     12.917744
1.801000     13.292031
1.901000     13.656065
2.001000     14.010642
2.101000     14.356465
2.201000     14.694152
2.301000     15.024250
2.401000     15.347251
2.501000     15.663592
2.601000     15.973669
2.701000     16.277841
2.801000     16.576432
2.901000     16.869739
3.001000     17.158033
3.101000     17.441562
3.201000     17.720556
3.301000     17.995224
3.401000     18.265763
3.501000     18.532352
3.601000     18.795161
3.701000     19.054345
3.801000     19.310050
3.901000     19.562413
4.001000     19.811562
4.101000     20.057616
4.201000     20.300688
4.301000     20.540883
4.401000     20.778302
4.501000     21.013038
4.601000     21.245181
4.701000     21.474813
4.801000     21.702016
4.901000     21.926864
5.001000     22.149430
5.101000     22.369780
5.201000     22.587981
5.301000     22.804092
5.401000     23.018173
5.501000     23.230281
5.601000     23.440471
5.701000     23.648788
5.801000     23.855288
5.901000     24.060016
6.001000     24.263013
6.101000     24.464323
6.201000     24.663988
6.301000     24.862050
6.401000     25.058547
6.501000     25.253506
6.601000     25.446976
6.701000     25.638980
6.801000     25.829558
6.901000     26.018734
7.001000     26.206545
7.101000     26.393015
7.201000     26.578174
7.301000     26.762043
7.401000     26.944659
7.501000     27.126042
7.601000     27.306214
7.701000     27.485212
7.801000     27.663037
7.901000     27.839717
8.001000     28.015293
8.101000     28.189755
8.201000     28.363150
8.301000     28.535483
8.401000     28.706775
8.501000     28.877033
8.601000     29.046299
8.701000     29.214589
8.801000     29.381884
8.901000     29.548243
9.001000     29.713656
9.101000     29.878156
9.201000     30.041725
9.301000     30.204421
9.401000     30.366231
9.501000     30.527178
9.601000     30.687254
9.701000     30.846518
9.801000     31.004924
9.901000     31.162547
